date,score
2020-06-05,2.1
2020-06-06,1.8
2020-06-07,1.9
2020-06-08,1.85
2020-06-09,1.8
2020-06-10,1.95
2020-06-11,1.95
2020-06-12,1.85
2020-06-13,1.8421052631578947
2020-06-14,1.588235294117647
2020-06-15,1.9
2020-06-16,1.75
2020-06-17,1.9
2020-06-18,2.0
2020-06-19,1.6
2020-06-20,2.0
2020-06-21,1.6
2020-06-22,1.85
2020-06-23,1.85
2020-06-24,2.0
2020-06-25,1.75
2020-06-26,1.75
2020-06-27,1.85
2020-06-28,1.8
2020-06-29,1.8
2020-06-30,1.9
2020-07-01,2.1
2020-07-02,1.7
2020-07-03,1.8412408759124088
2020-07-04,1.8412408759124088
