date,score
2020-06-05,2.0
2020-06-06,2.3333333333333335
2020-06-07,2.0
2020-06-08,1.5
2020-06-09,1.65
2020-06-10,1.6666666666666667
2020-06-11,2.1666666666666665
2020-06-12,2.0
2020-06-13,2.5
2020-06-14,1.65
2020-06-15,2.0
2020-06-16,2.0
2020-06-17,2.0
2020-06-18,2.0
2020-06-19,1.5
2020-06-20,1.65
2020-06-21,1.0
2020-06-22,1.5
2020-06-23,2.0
2020-06-24,2.0
2020-06-25,1.5
2020-06-26,2.5
2020-06-27,1.0
2020-06-28,1.4
2020-06-29,1.5
2020-06-30,1.75
2020-07-01,2.0
2020-07-02,1.5
2020-07-03,1.65
2020-07-04,1.65
