date,score
2020-06-05,2.0
2020-06-06,1.75
2020-06-07,1.5
2020-06-08,1.8333333333333333
2020-06-09,2.0
2020-06-10,1.625
2020-06-11,1.8
2020-06-12,1.7142857142857142
2020-06-13,2.5
2020-06-14,2.0
2020-06-15,1.5
2020-06-16,1.4545454545454546
2020-06-17,1.6666666666666667
2020-06-18,2.2
2020-06-19,1.8
2020-06-20,2.0
2020-06-21,1.4
2020-06-22,2.0
2020-06-23,1.7777142857142856
2020-06-24,1.9
2020-06-25,2.1818181818181817
2020-06-26,2.0
2020-06-27,2.0
2020-06-28,1.6666666666666667
2020-06-29,2.3333333333333335
2020-06-30,1.75
2020-07-01,1.5714285714285714
2020-07-02,2.3333333333333335
2020-07-03,1.7771428571428571
2020-07-04,1.7771428571428571
