date,score
2020-06-05,1.5
2020-06-06,1.6323529411764706
2020-06-07,1.0
2020-06-08,1.75
2020-06-09,2.3333333333333335
2020-06-10,1.5
2020-06-11,2.0
2020-06-12,1.8
2020-06-13,1.6323529411764706
2020-06-14,2.0
2020-06-15,2.6666666666666665
2020-06-16,3.0
2020-06-17,1.6666666666666667
2020-06-18,2.3333333333333335
2020-06-19,2.0
2020-06-20,2.0
2020-06-21,1.5
2020-06-22,2.0
2020-06-23,2.0
2020-06-24,1.6323529411764706
2020-06-25,1.8
2020-06-26,2.0
2020-06-27,1.5
2020-06-28,1.0
2020-06-29,2.5
2020-06-30,1.5
2020-07-01,2.0
2020-07-02,1.6323529411764706
2020-07-03,1.6323529411764706
2020-07-04,1.6323529411764706
