date,score
2020-06-05,1.9
2020-06-06,1.6
2020-06-07,1.5
2020-06-08,1.7
2020-06-09,1.7
2020-06-10,2.0
2020-06-11,1.75
2020-06-12,1.5
2020-06-13,1.8571428571428572
2020-06-14,1.75
2020-06-15,1.8333333333333333
2020-06-16,1.5
2020-06-17,1.8
2020-06-18,2.05
2020-06-19,1.9
2020-06-20,2.0
2020-06-21,1.4615384615384615
2020-06-22,1.8
2020-06-23,1.8
2020-06-24,2.0
2020-06-25,2.0625
2020-06-26,1.8333333333333333
2020-06-27,2.111111111111111
2020-06-28,1.8333333333333333
2020-06-29,1.8
2020-06-30,1.7
2020-07-01,1.8
2020-07-02,2.142857142857143
2020-07-03,1.8
2020-07-04,1.8
