date,score
2020-06-05,1.3877551020408163
2020-06-06,1.0
2020-06-07,1.0
2020-06-08,1.3877551020408163
2020-06-09,1.3877551020408163
2020-06-10,1.0
2020-06-11,1.5
2020-06-12,1.0
2020-06-13,1.5
2020-06-14,1.3877551020408163
2020-06-15,1.5
2020-06-16,1.6666666666666667
2020-06-17,1.6666666666666667
2020-06-18,1.5
2020-06-19,1.5
2020-06-20,2.0
2020-06-21,2.0
2020-06-22,2.5
2020-06-23,2.0
2020-06-24,2.0
2020-06-25,2.25
2020-06-26,3.0
2020-06-27,2.0
2020-06-28,3.0
2020-06-29,2.0
2020-06-30,1.3877551020408163
2020-07-01,1.0
2020-07-02,3.0
2020-07-03,1.3877551020408163
2020-07-04,1.3877551020408163
