date,score
2020-06-05,1.7727272727272727
2020-06-06,1.0
2020-06-07,1.0
2020-06-08,1.0
2020-06-09,1.0
2020-06-10,2.0
2020-06-11,1.5
2020-06-12,1.6666666666666667
2020-06-13,1.3333333333333333
2020-06-14,1.0
2020-06-15,1.75
2020-06-16,1.5555555555555556
2020-06-17,2.0
2020-06-18,1.9166666666666667
2020-06-19,1.7
2020-06-20,1.8333333333333333
2020-06-21,1.5
2020-06-22,2.2222222222222223
2020-06-23,1.7142857142857142
2020-06-24,2.25
2020-06-25,2.0
2020-06-26,2.6
2020-06-27,2.0
2020-06-28,2.5
2020-06-29,2.0
2020-06-30,2.0
2020-07-01,1.5
2020-07-02,3.0
2020-07-03,1.7727272727272727
2020-07-04,1.7727272727272727
