date,score
2020-06-05,2.05
2020-06-06,1.75
2020-06-07,2.05
2020-06-08,1.894736842105263
2020-06-09,1.8
2020-06-10,1.85
2020-06-11,1.8
2020-06-12,1.85
2020-06-13,1.6923076923076923
2020-06-14,1.6363636363636365
2020-06-15,1.9
2020-06-16,1.85
2020-06-17,1.9
2020-06-18,1.75
2020-06-19,1.7
2020-06-20,2.15
2020-06-21,1.55
2020-06-22,1.75
2020-06-23,1.65
2020-06-24,1.95
2020-06-25,1.75
2020-06-26,1.8
2020-06-27,1.75
2020-06-28,1.8
2020-06-29,1.7222222222222223
2020-06-30,1.95
2020-07-01,2.0
2020-07-02,1.7777777777777777
2020-07-03,1.8206106870229009
2020-07-04,1.8206106870229009
