date,scores
2016-10-08,1.666
2016-10-09,1.744
2016-10-10,1.696
2016-10-11,1.758
2016-10-12,1.806
2016-10-13,1.71
2016-10-14,1.71
2016-10-15,1.85
2016-10-16,1.76
2016-10-17,1.822
2016-10-18,1.844
2016-10-19,1.868
2016-10-20,1.844
2016-10-21,1.736
2016-10-22,1.824
2016-10-23,1.812
2016-10-24,1.794
2016-10-25,1.816
2016-10-26,1.816
2016-10-27,1.802
2016-10-28,1.782
2016-10-29,1.772
2016-10-30,1.746
2016-10-31,1.826
2016-11-01,1.886
2016-11-02,1.8288508557457213
2016-11-03,1.838
2016-11-04,1.796
2016-11-05,1.864
2016-11-06,1.816
2016-11-07,1.876
