date,scores
2020-05-27,1.874
2020-05-28,1.89
2020-05-29,1.79
2020-05-30,1.878
2020-05-31,1.814
2020-06-01,1.732
2020-06-02,1.91
2020-06-03,1.888
2020-06-04,1.542
2020-06-05,1.716
2020-06-06,1.928
2020-06-07,1.756
2020-06-08,1.768
2020-06-09,1.742
2020-06-10,1.728
2020-06-11,1.724
2020-06-12,1.852
2020-06-13,1.83
2020-06-14,1.94
2020-06-15,1.84
2020-06-16,1.734
2020-06-17,1.84
2020-06-18,1.814
2020-06-19,1.88
2020-06-20,1.816
2020-06-21,1.858
2020-06-22,1.924
2020-06-23,1.706
2020-06-24,1.708
2020-06-25,1.9
2020-06-26,1.746
