date,scores
2020-05-27,1.758
2020-05-28,1.778
2020-05-29,1.798
2020-05-30,1.79
2020-05-31,1.8
2020-06-01,1.852
2020-06-02,1.85
2020-06-03,1.836
2020-06-04,1.826
2020-06-05,1.83
2020-06-06,1.86
2020-06-07,1.812
2020-06-08,1.866
2020-06-09,1.806
2020-06-10,1.898
2020-06-11,1.856
2020-06-12,1.734
2020-06-13,1.786
2020-06-14,1.812
2020-06-15,1.824
2020-06-16,1.758
2020-06-17,1.822
2020-06-18,1.798
2020-06-19,1.858
2020-06-20,1.77
2020-06-21,1.712
2020-06-22,1.848
2020-06-23,1.74
2020-06-24,1.766
2020-06-25,1.806
2020-06-26,1.794
