date,scores
2020-05-28,1.752
2020-05-29,2.264
2020-05-30,1.818
2020-05-31,2.476
2020-06-01,1.85
2020-06-02,1.696
2020-06-03,2.648
2020-06-04,1.39
2020-06-05,1.362
2020-06-06,1.284
2020-06-07,2.162
2020-06-08,2.318
2020-06-09,1.664
2020-06-10,1.458
2020-06-11,1.892
2020-06-12,1.266
2020-06-13,1.844
2020-06-14,2.672
2020-06-15,1.79
2020-06-16,2.074
2020-06-17,1.662
2020-06-18,1.896
2020-06-19,2.112
2020-06-20,1.566
2020-06-21,1.768
2020-06-22,2.092
2020-06-23,1.788
2020-06-24,1.766
2020-06-25,1.918
2020-06-26,1.422
2020-06-27,1.938
2020-06-28,2.286
2020-06-29,2.2
