date,scores
2020-05-28,1.878
2020-05-29,1.84
2020-05-30,1.672
2020-05-31,1.478
2020-06-01,1.48
2020-06-02,1.73
2020-06-03,1.446
2020-06-04,1.812
2020-06-05,1.674
2020-06-06,1.848
2020-06-07,1.868
2020-06-08,1.93
2020-06-09,1.632
2020-06-10,2.146
2020-06-11,1.986
2020-06-12,1.698
2020-06-13,1.948
2020-06-14,1.52
2020-06-15,2.148
2020-06-16,1.686
2020-06-17,1.662
2020-06-18,2.196
2020-06-19,1.824
2020-06-20,1.552
2020-06-21,1.846
2020-06-22,1.912
2020-06-23,1.772
2020-06-24,1.812
2020-06-25,1.936
2020-06-26,1.898
2020-06-27,1.93
2020-06-28,1.704
2020-06-29,1.978
