date,scores
2020-05-28,1.88
2020-05-29,1.84
2020-05-30,2.088
2020-05-31,1.902
2020-06-01,1.726
2020-06-02,1.852
2020-06-03,1.878
2020-06-04,1.868
2020-06-05,2.474
2020-06-06,2.066
2020-06-07,2.322
2020-06-08,1.766
2020-06-09,1.884
2020-06-10,1.74
2020-06-11,1.952
2020-06-12,1.696
2020-06-13,1.588
2020-06-14,2.204
2020-06-15,2.038
2020-06-16,1.792
2020-06-17,1.822
2020-06-18,1.724
2020-06-19,1.528
2020-06-20,1.802
2020-06-21,1.722
2020-06-22,1.628
2020-06-23,1.608
2020-06-24,1.796
2020-06-25,1.944
2020-06-26,1.67
2020-06-27,1.464
2020-06-28,1.81
2020-06-29,1.694
