date,scores
2020-05-28,2.44
2020-05-29,2.032
2020-05-30,1.236
2020-05-31,1.312
2020-06-01,1.746
2020-06-02,2.066
2020-06-03,2.022
2020-06-04,1.69
2020-06-05,1.884
2020-06-06,1.722
2020-06-07,1.794
2020-06-08,1.738
2020-06-09,2.192
2020-06-10,2.25
2020-06-11,1.992
2020-06-12,1.964
2020-06-13,1.728
2020-06-14,1.768
2020-06-15,1.804
2020-06-16,1.746
2020-06-17,1.48
2020-06-18,1.814
2020-06-19,1.582
2020-06-20,1.88
2020-06-21,1.73
2020-06-22,1.784
2020-06-23,1.34
2020-06-24,1.996
2020-06-25,1.658
2020-06-26,2.008
2020-06-27,2.054
2020-06-28,1.802
2020-06-29,1.566
