date,scores
2020-05-28,1.586
2020-05-29,1.852
2020-05-30,2.132
2020-05-31,1.99
2020-06-01,2.146
2020-06-02,1.652
2020-06-03,1.87
2020-06-04,1.656
2020-06-05,1.388
2020-06-06,1.626
2020-06-07,1.844
2020-06-08,1.694
2020-06-09,1.348
2020-06-10,1.908
2020-06-11,2.008
2020-06-12,1.68
2020-06-13,1.844
2020-06-14,1.892
2020-06-15,1.552
2020-06-16,1.88
2020-06-17,1.908
2020-06-18,1.814
2020-06-19,1.468
2020-06-20,1.646
2020-06-21,1.858
2020-06-22,1.804
2020-06-23,1.546
2020-06-24,1.7
2020-06-25,1.812
2020-06-26,1.798
2020-06-27,1.696
2020-06-28,1.538
2020-06-29,1.808
