date,scores
2020-05-28,1.94
2020-05-29,1.818
2020-05-30,1.956
2020-05-31,1.732
2020-06-01,1.82
2020-06-02,1.858
2020-06-03,1.828
2020-06-04,1.904
2020-06-05,1.79
2020-06-06,2.418
2020-06-07,1.846
2020-06-08,1.712
2020-06-09,2.096
2020-06-10,1.988
2020-06-11,1.95
2020-06-12,1.87
2020-06-13,1.708
2020-06-14,2.008
2020-06-15,1.676
2020-06-16,1.936
2020-06-17,1.786
2020-06-18,1.936
2020-06-19,1.516
2020-06-20,1.906
2020-06-21,1.908
2020-06-22,1.836
2020-06-23,1.978
2020-06-24,1.808
2020-06-25,1.878
2020-06-26,1.918
2020-06-27,2.098
2020-06-28,1.69
2020-06-29,1.856
