date,scores
2020-05-28,1.678
2020-05-29,1.184
2020-05-30,2.01
2020-05-31,1.696
2020-06-01,1.794
2020-06-02,2.048
2020-06-03,1.96
2020-06-04,1.882
2020-06-05,1.852
2020-06-06,1.764
2020-06-07,1.722
2020-06-08,1.892
2020-06-09,1.934
2020-06-10,1.738
2020-06-11,1.732
2020-06-12,1.564
2020-06-13,1.86
2020-06-14,2.626
2020-06-15,1.772
2020-06-16,1.058
2020-06-17,1.81
2020-06-18,1.82
2020-06-19,1.648
2020-06-20,1.776
2020-06-21,1.964
2020-06-22,1.708
2020-06-23,2.578
2020-06-24,1.478
2020-06-25,1.998
2020-06-26,1.934
2020-06-27,1.97
2020-06-28,1.846
2020-06-29,1.942
