date,scores
2020-05-28,1.932
2020-05-29,2.38
2020-05-30,1.798
2020-05-31,2.162
2020-06-01,1.642
2020-06-02,1.978
2020-06-03,1.99
2020-06-04,2.018
2020-06-05,1.876
2020-06-06,1.572
2020-06-07,1.766
2020-06-08,1.426
2020-06-09,1.804
2020-06-10,1.96
2020-06-11,1.372
2020-06-12,1.744
2020-06-13,1.73
2020-06-14,1.9
2020-06-15,1.818
2020-06-16,1.754
2020-06-17,1.878
2020-06-18,1.742
2020-06-19,1.878
2020-06-20,2.064
2020-06-21,1.396
2020-06-22,1.684
2020-06-23,2.016
2020-06-24,1.652
2020-06-25,2.31
2020-06-26,1.88
2020-06-27,1.834
2020-06-28,1.834
2020-06-29,2.266
