date,scores
2020-05-28,1.808
2020-05-29,1.362
2020-05-30,1.798
2020-05-31,1.676
2020-06-01,1.814
2020-06-02,2.118
2020-06-03,1.754
2020-06-04,1.784
2020-06-05,1.734
2020-06-06,1.916
2020-06-07,1.852
2020-06-08,1.932
2020-06-09,1.638
2020-06-10,1.412
2020-06-11,1.464
2020-06-12,1.638
2020-06-13,2.064
2020-06-14,1.896
2020-06-15,1.752
2020-06-16,1.672
2020-06-17,1.932
2020-06-18,1.942
2020-06-19,1.69
2020-06-20,1.252
2020-06-21,1.954
2020-06-22,2.112
2020-06-23,1.948
2020-06-24,1.144
2020-06-25,1.684
2020-06-26,1.576
2020-06-27,1.398
2020-06-28,1.872
2020-06-29,1.516
