date,scores
2020-05-28,1.776
2020-05-29,1.608
2020-05-30,1.186
2020-05-31,1.638
2020-06-01,1.766
2020-06-02,2.078
2020-06-03,1.724
2020-06-04,1.812
2020-06-05,2.438
2020-06-06,1.766
2020-06-07,1.888
2020-06-08,1.792
2020-06-09,1.724
2020-06-10,2.036
2020-06-11,1.926
2020-06-12,1.964
2020-06-13,1.712
2020-06-14,1.93
2020-06-15,1.978
2020-06-16,1.676
2020-06-17,1.79
2020-06-18,1.902
2020-06-19,1.712
2020-06-20,1.734
2020-06-21,2.036
2020-06-22,2.252
2020-06-23,1.816
2020-06-24,1.75
2020-06-25,2.212
2020-06-26,1.754
2020-06-27,1.856
2020-06-28,1.82
2020-06-29,1.828
